id,summary,start,end,location
ADE6050726f6a65745f323032332d323032342d38323132362d302d30,R403 Au-delà relationnel (TP noté),20240318T124500Z,20240318T144500Z,IN1.07
ADE6050726f6a65745f323032332d323032342d38393233312d302d31,R205 Services réseau (G2),20240318T124500Z,20240318T164500Z,IN1.03
ADE6050726f6a65745f323032332d323032342d38323133392d302d32,R405 Anglais (G1),20240318T073000Z,20240318T093000Z,IN0.00
ADE6050726f6a65745f323032332d323032342d38393239322d302d30,R205 Services réseau (G3),20240320T124500Z,20240320T164500Z,IN1.03
ADE6050726f6a65745f323032332d323032342d33373032372d302d30,CPJ S5,20240321T124500Z,20240321T164500Z,Salle de réunion
ADE6050726f6a65745f323032332d323032342d39313835302d302d30,R206 Exploit. BD (G2),20240320T124500Z,20240320T164500Z,IN2.02
ADE6050726f6a65745f323032332d323032342d38383033352d302d31,R203 Qual de dev (G2.1),20240319T124500Z,20240319T164500Z,IN1.07
ADE6050726f6a65745f323032332d323032342d39323135392d302d31,R210 Gest. Orga. (G2),20240322T093000Z,20240322T113000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d3131363234302d322d30,SAÉ 206 (G2),20240321T073000Z,20240321T093000Z,IN1.05
ADE6050726f6a65745f323032332d323032342d3131363234302d322d30,SAÉ 206 (G2),20240321T073000Z,20240321T093000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d39323835342d302d30,R211 Droit (G2),20240318T073000Z,20240318T093000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38323334302d302d34,R4A10 Compl Web (G1),20240322T073000Z,20240322T113000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38373932332d302d30,R203 Qual de dev (G1.1),20240320T124500Z,20240320T164500Z,IN1.07
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3338,Projet,20240322T124500Z,20240322T164500Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38323032392d302d30,R401 Archi Log (TP noté),20240320T093000Z,20240320T113000Z,IN1.05
ADE6050726f6a65745f323032332d323032342d38393232322d302d31,R205 Services réseau (G1),20240320T073000Z,20240320T113000Z,IN1.03
ADE6050726f6a65745f323032332d323032342d3131363034312d302d31,R202 IHM (G3),20240319T124500Z,20240319T164500Z,IN2.01
ADE6050726f6a65745f323032332d323032342d39323930352d302d30,R211 Droit (G3),20240318T124500Z,20240318T144500Z,IN0.07
ADE6050726f6a65745f323032332d323032342d39343930342d302d34,R4A11 Dev mobile (G1.2),20240322T124500Z,20240322T164500Z,IN1.09
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3339,Projet,20240322T073000Z,20240322T113000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3331,Projet,20240318T073000Z,20240318T113000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38383134302d302d39,R207 Graphes (G2),20240322T073000Z,20240322T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d39323037352d302d31,R208 Stat. descriptives (G2),20240318T093000Z,20240318T113000Z,IN2.01
ADE6050726f6a65745f323032332d323032342d39333233372d302d30,R213 Comm (G3),20240319T093000Z,20240319T113000Z,IN0.08
ADE6050726f6a65745f323032332d323032342d39363635372d302d31,R202 IHM (G1),20240319T073000Z,20240319T113000Z,IN2.01
ADE6050726f6a65745f323032332d323032342d39323034382d302d31,R206 Exploit. BD (G3),20240318T073000Z,20240318T113000Z,IN2.02
ADE6050726f6a65745f323032332d323032342d39333236352d302d30,R213 Comm bureautique - SAÉ 206 (G1),20240321T073000Z,20240321T093000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38323134322d302d35,R405 Anglais (G2),20240319T093000Z,20240319T113000Z,IN0.00
ADE6050726f6a65745f323032332d323032342d383131382d302d31,R407 PPP (G2),20240319T124500Z,20240319T144500Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38323033322d302d30,R401 Archi Log (TP noté),20240320T093000Z,20240320T113000Z,IN1.07
ADE6050726f6a65745f323032332d323032342d3131363233382d332d30,SAÉ 206 (G3),20240321T093000Z,20240321T113000Z,IN1.05
ADE6050726f6a65745f323032332d323032342d3131363233382d332d30,SAÉ 206 (G3),20240321T093000Z,20240321T113000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d38373131322d302d31,R402 Qual. de Dev (G2),20240320T124500Z,20240320T164500Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38373939382d302d31,R203 Qual de dev (G3.2),20240320T073000Z,20240320T113000Z,IN2.02
ADE6050726f6a65745f323032332d323032342d39333237332d302d30,R213 Comm bureautique - SAÉ 206 (G3),20240322T124500Z,20240322T144500Z,IN2.01
ADE6050726f6a65745f323032332d323032342d3131363034302d302d31,R202 IHM (G2),20240319T073000Z,20240319T113000Z,IN2.02
